expectancy,value,impulsiveness,delay,time_of_day_hour,day_of_week,session_duration_minutes,time_since_last_break_minutes,recent_procrastination_count,intervention_type,accepted,motivation_delta
0.3,0.97,0.16,0.79,15,4,36.7,35.8,0,pomodoro,0,-0.08
0.5,0.39,0.31,0.19,11,4,60.1,30.2,1,reframing,1,0.22
0.38,0.74,0.34,0.57,15,6,64.2,43.1,0,notification,1,-0.04
0.86,0.56,0.22,0.66,14,0,12.7,6.5,1,reframing,0,-0.07
0.53,0.89,0.14,0.45,19,6,67.7,40.7,0,reframing,1,-0.05
0.62,0.52,0.28,0.32,10,3,68.9,20.5,0,break,0,-0.06
0.54,0.62,0.14,0.76,18,6,88.8,1.3,2,notification,0,-0.04
0.7,0.75,0.19,0.29,19,4,74.8,20.6,2,two_minute_rule,1,-0.02
0.35,0.31,0.28,0.29,13,5,106.2,49.8,2,breathing,1,0.01
0.76,0.39,0.19,0.58,13,4,17.9,0.3,0,pomodoro,0,-0.03
0.69,0.77,0.19,0.53,14,0,103.8,41.2,0,reframing,0,-0.01
0.8,0.85,0.36,0.79,10,0,15.0,12.5,0,breathing,1,0.03
0.77,0.69,0.34,0.73,16,2,75.6,66.7,0,notification,1,-0.05
0.35,0.82,0.27,0.6,18,0,45.6,35.0,1,reframing,1,0.06
0.66,0.72,0.24,0.48,17,4,53.1,4.1,0,break,1,-0.0
0.4,0.61,0.53,0.14,13,3,14.8,14.6,0,break,1,-0.0
0.41,0.85,0.23,0.72,17,3,57.4,28.3,1,break,1,0.02
0.45,0.55,0.08,0.77,17,5,25.0,1.0,1,two_minute_rule,1,-0.01
0.6,0.79,0.49,0.53,9,5,87.1,64.9,2,reframing,0,-0.1
0.45,0.64,0.01,0.52,19,3,66.7,2.7,0,two_minute_rule,0,-0.02
0.57,0.49,0.07,0.8,11,3,11.2,8.3,3,reframing,1,-0.0
0.33,0.77,0.05,0.14,16,0,45.1,18.2,0,two_minute_rule,1,0.11
0.75,0.91,0.37,0.24,16,3,69.3,22.2,2,notification,1,-0.0
0.33,0.88,0.16,0.18,14,3,47.2,46.8,0,pomodoro,0,-0.06
0.39,0.94,0.42,0.54,12,2,110.3,89.0,0,notification,1,0.07
0.84,0.74,0.25,0.3,14,2,94.7,89.9,1,break,1,0.27
0.77,0.71,0.26,0.7,17,2,89.3,86.3,0,reframing,0,-0.03
0.84,0.71,0.3,0.16,10,0,17.7,7.2,0,reframing,1,-0.03
0.35,0.72,0.16,0.62,10,5,60.0,11.6,0,notification,1,0.02
0.51,0.57,0.08,0.17,18,2,106.2,103.8,2,notification,0,-0.09
0.72,0.67,0.12,0.33,18,6,13.0,2.2,1,notification,1,0.05
0.49,0.79,0.46,0.43,17,3,13.6,2.8,1,reframing,1,0.0
0.82,0.89,0.45,0.46,14,5,43.3,22.7,0,pomodoro,1,-0.01
0.31,0.72,0.37,0.64,17,6,119.7,78.0,0,reframing,1,0.1
0.63,0.9,0.26,0.21,13,0,98.2,11.2,1,pomodoro,1,-0.05
0.75,0.94,0.47,0.13,11,3,13.9,10.6,0,reframing,0,-0.04
0.34,0.54,0.57,0.21,12,2,25.6,8.2,1,breathing,1,-0.01
0.32,0.66,0.5,0.61,17,4,64.4,13.0,0,breathing,0,-0.05
0.39,0.75,0.5,0.65,8,2,70.6,68.5,0,breathing,0,-0.03
0.74,0.55,0.23,0.65,10,3,28.9,4.3,0,pomodoro,0,-0.05
0.85,0.86,0.25,0.4,12,0,92.0,41.1,0,break,1,0.01
0.82,0.99,0.1,0.51,12,0,111.5,88.7,1,two_minute_rule,1,0.1
0.45,0.4,0.12,0.52,16,1,40.6,11.5,4,two_minute_rule,1,-0.0
0.64,0.77,0.44,0.2,18,5,87.4,56.4,0,two_minute_rule,1,0.02
0.7,0.54,0.29,0.51,12,4,48.4,39.0,1,breathing,1,-0.02
0.47,0.85,0.15,0.24,16,1,22.0,3.0,0,two_minute_rule,1,0.06
0.38,0.97,0.37,0.28,14,1,32.2,5.4,0,two_minute_rule,1,0.2
0.42,0.62,0.11,0.76,11,4,93.8,65.0,0,two_minute_rule,0,-0.07
0.68,0.47,0.13,0.23,10,5,34.8,7.3,0,pomodoro,1,0.0
0.48,0.77,0.24,0.37,11,6,18.3,15.6,0,breathing,1,0.09
0.59,0.68,0.39,0.75,10,6,75.5,38.6,1,breathing,1,0.02
0.66,0.76,0.58,0.17,16,1,94.5,59.2,0,pomodoro,1,-0.04
0.75,0.91,0.37,0.29,11,0,59.7,6.0,0,pomodoro,0,-0.1
0.51,0.42,0.22,0.5,17,3,25.2,4.0,1,breathing,0,-0.06
0.44,0.59,0.19,0.11,8,0,97.9,59.6,0,breathing,0,-0.07
